,uid,name,type,nominal_value,categorical_value,units,value,column_name,column_value
0,00b989a1-623e-4bd0-b673-462c6fe0a60b,Weighed Mass,nominal_real,1.5588,,gram,"{""nominal"": 1.5588, ""type"": ""nominal_real"", ""units"": ""gram""}",composition_id,AAB08
1,00b989a1-623e-4bd0-b673-462c6fe0a60b,Weighed Mass,nominal_real,1.5588,,gram,"{""nominal"": 1.5588, ""type"": ""nominal_real"", ""units"": ""gram""}",batch,A
2,00b989a1-623e-4bd0-b673-462c6fe0a60b,Weighed Mass,nominal_real,1.5588,,gram,"{""nominal"": 1.5588, ""type"": ""nominal_real"", ""units"": ""gram""}",fabrication_method,VAM
3,00b989a1-623e-4bd0-b673-462c6fe0a60b,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",composition_id,AAB08
4,00b989a1-623e-4bd0-b673-462c6fe0a60b,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",batch,A
5,00b989a1-623e-4bd0-b673-462c6fe0a60b,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",fabrication_method,VAM
6,0219282b-bbf2-4ef4-8184-e4c4649661d4,Strain Rate Sensitivity Exponent,nominal_real,0.0064208313941111,,dimensionless,"{""nominal"": 0.0064208313941111, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",composition_id,AAB08
7,0219282b-bbf2-4ef4-8184-e4c4649661d4,Strain Rate Sensitivity Exponent,nominal_real,0.0064208313941111,,dimensionless,"{""nominal"": 0.0064208313941111, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",batch,A
8,0219282b-bbf2-4ef4-8184-e4c4649661d4,Strain Rate Sensitivity Exponent,nominal_real,0.0064208313941111,,dimensionless,"{""nominal"": 0.0064208313941111, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",fabrication_method,VAM
9,0219282b-bbf2-4ef4-8184-e4c4649661d4,Strain Rate Sensitivity Exponent Std. Dev.,nominal_real,0.0010098574799777,,dimensionless,"{""nominal"": 0.0010098574799777, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",composition_id,AAB08
10,0219282b-bbf2-4ef4-8184-e4c4649661d4,Strain Rate Sensitivity Exponent Std. Dev.,nominal_real,0.0010098574799777,,dimensionless,"{""nominal"": 0.0010098574799777, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",batch,A
11,0219282b-bbf2-4ef4-8184-e4c4649661d4,Strain Rate Sensitivity Exponent Std. Dev.,nominal_real,0.0010098574799777,,dimensionless,"{""nominal"": 0.0010098574799777, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",fabrication_method,VAM
12,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Raw Hardness (Gpa),nominal_real,2.31111111111111,,gigapascal,"{""nominal"": 2.31111111111111, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",composition_id,AAB08
13,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Raw Hardness (Gpa),nominal_real,2.31111111111111,,gigapascal,"{""nominal"": 2.31111111111111, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",batch,A
14,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Raw Hardness (Gpa),nominal_real,2.31111111111111,,gigapascal,"{""nominal"": 2.31111111111111, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",fabrication_method,VAM
15,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Raw Modulus (Gpa),nominal_real,185.777777777778,,gigapascal,"{""nominal"": 185.777777777778, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",composition_id,AAB08
16,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Raw Modulus (Gpa),nominal_real,185.777777777778,,gigapascal,"{""nominal"": 185.777777777778, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",batch,A
17,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Raw Modulus (Gpa),nominal_real,185.777777777778,,gigapascal,"{""nominal"": 185.777777777778, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",fabrication_method,VAM
18,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Pile-up Ratio,nominal_real,91.2431888888889,,dimensionless,"{""nominal"": 91.2431888888889, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",composition_id,AAB08
19,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Pile-up Ratio,nominal_real,91.2431888888889,,dimensionless,"{""nominal"": 91.2431888888889, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",batch,A
20,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Pile-up Ratio,nominal_real,91.2431888888889,,dimensionless,"{""nominal"": 91.2431888888889, ""type"": ""nominal_real"", ""units"": ""dimensionless""}",fabrication_method,VAM
21,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Corrected Hardness (Gpa),nominal_real,2.10971726222222,,gigapascal,"{""nominal"": 2.10971726222222, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",composition_id,AAB08
22,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Corrected Hardness (Gpa),nominal_real,2.10971726222222,,gigapascal,"{""nominal"": 2.10971726222222, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",batch,A
23,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Corrected Hardness (Gpa),nominal_real,2.10971726222222,,gigapascal,"{""nominal"": 2.10971726222222, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",fabrication_method,VAM
24,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Corrected Modulus (Gpa),nominal_real,169.544739755556,,gigapascal,"{""nominal"": 169.544739755556, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",composition_id,AAB08
25,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Corrected Modulus (Gpa),nominal_real,169.544739755556,,gigapascal,"{""nominal"": 169.544739755556, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",batch,A
26,0219282b-bbf2-4ef4-8184-e4c4649661d4,Avg. Corrected Modulus (Gpa),nominal_real,169.544739755556,,gigapascal,"{""nominal"": 169.544739755556, ""type"": ""nominal_real"", ""units"": ""gigapascal""}",fabrication_method,VAM
27,0289ea45-435c-4ce8-bfa2-aa755004a2b2,Weighed Mass,nominal_real,2.6673,,gram,"{""nominal"": 2.6673, ""type"": ""nominal_real"", ""units"": ""gram""}",composition_id,AAB05
28,0289ea45-435c-4ce8-bfa2-aa755004a2b2,Weighed Mass,nominal_real,2.6673,,gram,"{""nominal"": 2.6673, ""type"": ""nominal_real"", ""units"": ""gram""}",batch,A
29,0289ea45-435c-4ce8-bfa2-aa755004a2b2,Weighed Mass,nominal_real,2.6673,,gram,"{""nominal"": 2.6673, ""type"": ""nominal_real"", ""units"": ""gram""}",fabrication_method,VAM
30,0289ea45-435c-4ce8-bfa2-aa755004a2b2,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",composition_id,AAB05
31,0289ea45-435c-4ce8-bfa2-aa755004a2b2,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",batch,A
32,0289ea45-435c-4ce8-bfa2-aa755004a2b2,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",fabrication_method,VAM
33,03751ff8-b20d-4281-ab6d-75d230a5e50a,Weighed Mass,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",composition_id,AAB01
34,03751ff8-b20d-4281-ab6d-75d230a5e50a,Weighed Mass,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",batch,A
35,03751ff8-b20d-4281-ab6d-75d230a5e50a,Weighed Mass,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",fabrication_method,VAM
36,03751ff8-b20d-4281-ab6d-75d230a5e50a,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",composition_id,AAB01
37,03751ff8-b20d-4281-ab6d-75d230a5e50a,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",batch,A
38,03751ff8-b20d-4281-ab6d-75d230a5e50a,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",fabrication_method,VAM
39,05023111-1c06-4d9d-9863-4ad3680fb7a8,Weighed Mass,nominal_real,8.8503,,gram,"{""nominal"": 8.8503, ""type"": ""nominal_real"", ""units"": ""gram""}",composition_id,AAB08
40,05023111-1c06-4d9d-9863-4ad3680fb7a8,Weighed Mass,nominal_real,8.8503,,gram,"{""nominal"": 8.8503, ""type"": ""nominal_real"", ""units"": ""gram""}",batch,A
41,05023111-1c06-4d9d-9863-4ad3680fb7a8,Weighed Mass,nominal_real,8.8503,,gram,"{""nominal"": 8.8503, ""type"": ""nominal_real"", ""units"": ""gram""}",fabrication_method,VAM
42,05023111-1c06-4d9d-9863-4ad3680fb7a8,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",composition_id,AAB08
43,05023111-1c06-4d9d-9863-4ad3680fb7a8,Mass Loss,nominal_real,0.0,,gram,"{""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}",batch,A
