Source,Target,node_context
,measurement_run [ac565809-4571-465e-a557-70cb9780d59a],"{""conditions"": [], ""file_links"": [{""filename"": ""14_47_47"", ""type"": ""file_link"", ""url"": null}, {""filename"": ""C2--2022310--00013"", ""type"": ""file_link"", ""url"": null}, {""filename"": ""BP--2022310--00013"", ""type"": ""file_link"", ""url"": null}], ""material"": {""id"": ""73aeec69-8470-4797-9f1c-2ee90a5c462c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Flyer velocity analysis"", ""notes"": ""Beam Profile Saturated"", ""parameters"": [], ""properties"": [{""file_links"": [], ""name"": ""FlyerTilt"", ""notes"": null, ""origin"": ""measured"", ""template"": {""id"": ""a2a0c266-26a1-413f-b962-4850ab5a5153"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""property"", ""value"": {""category"": ""None"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""FlyerCurvature"", ""notes"": null, ""origin"": ""measured"", ""template"": {""id"": ""01d8209c-5f75-4c5a-84c6-04603aa83725"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""property"", ""value"": {""category"": ""Minor"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""VideoQuality"", ""notes"": null, ""origin"": ""measured"", ""template"": {""id"": ""3f3577c5-305b-46be-a063-b16a407a3204"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""property"", ""value"": {""category"": ""Good"", ""type"": ""nominal_categorical""}}], ""source"": {""performed_by"": ""DiMarco"", ""performed_date"": ""03/10/2022"", ""type"": ""performed_source""}, ""spec"": {""id"": ""0eeaf26e-51f3-4177-a352-bd842ad08713"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [""NewEnergyMeasurement::Yes"", ""ExperimentDayCounter::00013"", ""GrantFunding::Time_Lens_PDV"", ""recordId::946"", ""modId::6"", ""ObjectType::LaserShockExperiment""], ""type"": ""measurement_run"", ""uids"": {""auto"": ""ac565809-4571-465e-a557-70cb9780d59a""}}"
measurement_run [ac565809-4571-465e-a557-70cb9780d59a],material_run [73aeec69-8470-4797-9f1c-2ee90a5c462c],"{""file_links"": [], ""name"": ""F025-R3C6"", ""notes"": null, ""process"": {""id"": ""e89641c9-f064-4c1a-bc3f-995f8a0d0117"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""sample_type"": ""unknown"", ""spec"": {""id"": ""0815978e-5d2e-4e06-945f-4fc33afd8a6b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [""recordId::967"", ""modId::0"", ""ObjectType::LaserShockLaunchPackage""], ""type"": ""material_run"", ""uids"": {""auto"": ""73aeec69-8470-4797-9f1c-2ee90a5c462c""}}"
measurement_run [ac565809-4571-465e-a557-70cb9780d59a],measurement_spec [0eeaf26e-51f3-4177-a352-bd842ad08713],"{""conditions"": [{""file_links"": [], ""name"": ""Fluence"", ""notes"": null, ""origin"": ""computed"", ""template"": {""id"": ""456ea02b-c012-4a0e-9345-33623ef9bbae"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""nominal"": 64.17127305465219, ""type"": ""nominal_real"", ""units"": ""joule / centimeter ** 2""}}, {""file_links"": [], ""name"": ""BeamShaper"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""cd2de546-c0e4-467f-856e-417224a54627"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Silios"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""PDVMethod"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""c5de4bde-012f-44e7-88bc-eb7ff325b275"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Time Lens"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""CameraLens"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""b17ee3c2-3af0-4c5c-930c-896e465f4880"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""105"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""Doubler"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""e932d95d-599d-4142-9dd3-f09cc8a5f65a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""1"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""CameraAperture"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""e186bbf5-2e98-4af7-90c3-78fb39c27f84"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""0"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""LensAperture"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""be2f187b-3602-4834-b36a-4e4c6efa1a62"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""4"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""CameraFilter"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""c832e1ac-0f38-4ace-9a4a-853663ab3bfb"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""648 CWL/20 FWHM"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""IlluminationLaser"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""c72f0a56-9abe-4161-a36d-eb05091f0994"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Cavitar"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""LaserFilter"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""ec7efdb9-2fb4-4e9a-9071-6448ede91384"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Texwipe/diffuser"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""HighSpeedCamera"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""078bc57c-9ad2-4732-99c6-28e92ebcf14b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Shimadzu"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""BeamProfilerFilter"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""de5622a7-a0c0-4141-8eb8-73537586a89c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""OD 8"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""SampleRecoveryMethod"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""3a104b09-81aa-4d7c-95d1-ed6232ad5b81"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""3D printed grid"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""LaunchPackageHolder"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""8ccce41f-1025-4b07-8c1e-86ca6a9d4359"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""Vacuum Chamber"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""CheckVacuum"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""bb1093c2-4850-4ead-a3d5-c81b3997196b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""category"": ""On"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""BeamShaperInputBeamDiameter"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""f491d129-c4dd-48f0-baf1-2b2dfb241759"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""nominal"": 25.0, ""type"": ""nominal_real"", ""units"": ""millimeter""}}, {""file_links"": [], ""name"": ""Energy"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""d89b7550-7e27-4dbc-b473-a5a01e9a6936"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""nominal"": 1400.0, ""type"": ""nominal_real"", ""units"": ""millijoule""}}, {""file_links"": [], ""name"": ""TheoreticalBeamDiameter"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""79cdd653-1c32-4625-a65b-0c48dc092d71"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""nominal"": 1.6666666666666667, ""type"": ""nominal_real"", ""units"": ""millimeter""}}, {""file_links"": [], ""name"": ""PreAmpOutputPower"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""dec82658-161d-4ba4-89ff-41ecdf29d0e3"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""nominal"": 9.3, ""type"": ""nominal_real"", ""units"": ""dimensionless""}}, {""file_links"": [], ""name"": ""PDVSpotSize"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""50a701cd-5075-42d4-95bc-b5a0bebdeae7"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""nominal"": 80.0, ""type"": ""nominal_real"", ""units"": ""micrometer""}}, {""file_links"": [], ""name"": ""BasePressure"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""fef7d0fc-042b-42bc-90d2-65f5fa53f5fc"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""condition"", ""value"": {""nominal"": 17.7, ""type"": ""nominal_real"", ""units"": ""millitorr""}}], ""file_links"": [], ""name"": ""Flyer velocity analysis"", ""notes"": ""A spec for performing a Laser Shock Experiment measurement"", ""parameters"": [{""file_links"": [], ""name"": ""OscillatorSetting"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""3a16ed08-f2db-4411-b7ad-81d72c1b1207"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 10, ""type"": ""nominal_integer""}}, {""file_links"": [], ""name"": ""AmplifierSetting"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""b29282fd-ebec-4be5-bb13-bd28d3241ef6"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 10, ""type"": ""nominal_integer""}}, {""file_links"": [], ""name"": ""DriveLaserMode"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""52b86f6d-4dde-49eb-b38b-f411ae3b988c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""Q switched"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""FocusingLensArrangement"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""52953917-c154-4f8f-a693-22a748c640f3"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""New"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""SystemConfiguration"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""6cbf0926-8344-4f56-bfd9-a8dda89f0424"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""1-Point"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""OscilloscopeRange"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""7e6d11dc-ceb3-4c84-9c2a-fc302cbf5618"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""5"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""TimeperDiv"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""76512ad1-1167-4f8e-8c89-8744437ed9f7"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""50"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""Speed"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""9d1e3e55-c9c8-409d-be85-b4570cd543f8"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""category"": ""10,000,000"", ""type"": ""nominal_categorical""}}, {""file_links"": [], ""name"": ""EffectiveFocalLength"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""fe4510c7-8c64-4698-8bd6-a158514f8948"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 250.0, ""type"": ""nominal_real"", ""units"": ""millimeter""}}, {""file_links"": [], ""name"": ""AttenuatorAngle"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""064122ff-06e3-4e2f-b010-74fd7a4a4e7f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 270.0, ""type"": ""nominal_real"", ""units"": ""degree""}}, {""file_links"": [], ""name"": ""BoosterAmpSetting"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""211be3bd-9d0c-4a0d-bbcb-9262ec626370"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 400.0, ""type"": ""nominal_real"", ""units"": ""millivolt""}}, {""file_links"": [], ""name"": ""CurrentSetPoint"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""cf5b03b0-a051-43d4-b9a3-e0afa181ea93"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 0.14, ""type"": ""nominal_real"", ""units"": ""mean_international_ampere""}}, {""file_links"": [], ""name"": ""SeedLaserWavelength"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""3a4f82f9-c77f-4f90-a18e-75d1fcee4562"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 1541.47, ""type"": ""nominal_real"", ""units"": ""nanometer""}}, {""file_links"": [], ""name"": ""ReferenceLaserWavelength"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""c4193450-a3b6-4f67-a66d-1bafd8d8b323"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 1540.7, ""type"": ""nominal_real"", ""units"": ""nanometer""}}, {""file_links"": [], ""name"": ""CarrierFreq"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""9fc7e532-c0bc-454b-aea4-c4b89fc909b1"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 12.0, ""type"": ""nominal_real"", ""units"": ""gigahenry""}}, {""file_links"": [], ""name"": ""BeamProfilerGain"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""c496ca75-cf5c-4d64-818c-302b309a7ced"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 20.16, ""type"": ""nominal_real"", ""units"": ""dimensionless""}}, {""file_links"": [], ""name"": ""BeamProfilerExposure"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""710504ee-96bc-44dd-8dce-36ae00d52a4f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 261.06, ""type"": ""nominal_real"", ""units"": ""millisecond""}}], ""tags"": [], ""template"": {""id"": ""6d0fa0a8-8f25-47e4-a389-7d425671207b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""measurement_spec"", ""uids"": {""auto"": ""0eeaf26e-51f3-4177-a352-bd842ad08713""}}"
measurement_spec [0eeaf26e-51f3-4177-a352-bd842ad08713],measurement_template [6d0fa0a8-8f25-47e4-a389-7d425671207b],"{""conditions"": [[{""id"": ""456ea02b-c012-4a0e-9345-33623ef9bbae"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""f491d129-c4dd-48f0-baf1-2b2dfb241759"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""cd2de546-c0e4-467f-856e-417224a54627"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""b17ee3c2-3af0-4c5c-930c-896e465f4880"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""e932d95d-599d-4142-9dd3-f09cc8a5f65a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""e186bbf5-2e98-4af7-90c3-78fb39c27f84"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""be2f187b-3602-4834-b36a-4e4c6efa1a62"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""c832e1ac-0f38-4ace-9a4a-853663ab3bfb"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""c72f0a56-9abe-4161-a36d-eb05091f0994"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""ec7efdb9-2fb4-4e9a-9071-6448ede91384"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""078bc57c-9ad2-4732-99c6-28e92ebcf14b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""de5622a7-a0c0-4141-8eb8-73537586a89c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""3a104b09-81aa-4d7c-95d1-ed6232ad5b81"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""8ccce41f-1025-4b07-8c1e-86ca6a9d4359"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""d89b7550-7e27-4dbc-b473-a5a01e9a6936"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""79cdd653-1c32-4625-a65b-0c48dc092d71"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""dec82658-161d-4ba4-89ff-41ecdf29d0e3"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""50a701cd-5075-42d4-95bc-b5a0bebdeae7"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""bb1093c2-4850-4ead-a3d5-c81b3997196b"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""fef7d0fc-042b-42bc-90d2-65f5fa53f5fc"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""a6d2a38f-ed71-4cb3-a8a2-1ee60771b537"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""78819e87-dd9f-40ee-b164-4200792e2c0d"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""description"": ""One of several different categories of measurements performed in the Laser Shock lab"", ""name"": ""Laser Shock Experiment"", ""parameters"": [[{""id"": ""fe4510c7-8c64-4698-8bd6-a158514f8948"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""52b86f6d-4dde-49eb-b38b-f411ae3b988c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""3a16ed08-f2db-4411-b7ad-81d72c1b1207"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""b29282fd-ebec-4be5-bb13-bd28d3241ef6"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""7e6d11dc-ceb3-4c84-9c2a-fc302cbf5618"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""52953917-c154-4f8f-a693-22a748c640f3"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""6cbf0926-8344-4f56-bfd9-a8dda89f0424"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""9d1e3e55-c9c8-409d-be85-b4570cd543f8"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""74924eb1-6cb5-4b46-a859-be02dcebc59c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""064122ff-06e3-4e2f-b010-74fd7a4a4e7f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""211be3bd-9d0c-4a0d-bbcb-9262ec626370"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""cf5b03b0-a051-43d4-b9a3-e0afa181ea93"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""c496ca75-cf5c-4d64-818c-302b309a7ced"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""710504ee-96bc-44dd-8dce-36ae00d52a4f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""properties"": [[{""id"": ""a2a0c266-26a1-413f-b962-4850ab5a5153"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""01d8209c-5f75-4c5a-84c6-04603aa83725"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""f070740e-5e58-4b8d-a693-58b6d657fbc1"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""3f3577c5-305b-46be-a063-b16a407a3204"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""c54372e5-8879-4fee-8f0f-dbeda4055160"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""cf8db0f5-fc27-4816-90fa-c4f3008de81a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""00f132e7-60d8-472c-80cc-0aec952f214e"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""b28085f0-c069-4816-9dec-c0f54b47d5ea"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""137db6ff-77e0-4d1b-b8d1-183d668fa56e"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""tags"": [], ""type"": ""measurement_template"", ""uids"": {""auto"": ""6d0fa0a8-8f25-47e4-a389-7d425671207b""}}"
material_run [73aeec69-8470-4797-9f1c-2ee90a5c462c],material_spec [0815978e-5d2e-4e06-945f-4fc33afd8a6b],"{""file_links"": [], ""name"": ""Launch Package"", ""notes"": ""A spec for creating a launch package"", ""process"": {""id"": ""9aaf6bda-d400-45cf-b0e1-29aab11795b0"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""properties"": [], ""tags"": [], ""template"": {""id"": ""2eb06493-a47a-4f22-a77f-b98d790d9d86"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""material_spec"", ""uids"": {""auto"": ""0815978e-5d2e-4e06-945f-4fc33afd8a6b""}}"
material_run [73aeec69-8470-4797-9f1c-2ee90a5c462c],process_run [e89641c9-f064-4c1a-bc3f-995f8a0d0117],"{""conditions"": [], ""file_links"": [], ""name"": ""Choosing Flyer"", ""notes"": null, ""parameters"": [], ""source"": {""performed_by"": ""DiMarco"", ""performed_date"": ""03/10/2022"", ""type"": ""performed_source""}, ""spec"": {""id"": ""9aaf6bda-d400-45cf-b0e1-29aab11795b0"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""process_run"", ""uids"": {""auto"": ""e89641c9-f064-4c1a-bc3f-995f8a0d0117""}}"
process_run [e89641c9-f064-4c1a-bc3f-995f8a0d0117],process_spec [9aaf6bda-d400-45cf-b0e1-29aab11795b0],"{""conditions"": [], ""file_links"": [], ""name"": ""Choosing Flyer"", ""notes"": null, ""parameters"": [{""file_links"": [], ""name"": ""Flyer Row"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""61c04cc0-5512-4f26-af8d-38d249b6a9ec"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 3, ""type"": ""nominal_integer""}}, {""file_links"": [], ""name"": ""Flyer Column"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""2eda4196-eb59-4ea9-b906-57216e1ccafd"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 6, ""type"": ""nominal_integer""}}], ""tags"": [], ""template"": {""id"": ""abc629d5-7453-4620-accd-db59f8586067"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""9aaf6bda-d400-45cf-b0e1-29aab11795b0""}}"
process_spec [9aaf6bda-d400-45cf-b0e1-29aab11795b0],process_template [abc629d5-7453-4620-accd-db59f8586067],"{""allowed_labels"": [], ""allowed_names"": [], ""conditions"": [], ""description"": ""Choosing a particular flyer (row, column) from a flyer stack"", ""name"": ""Choosing Flyer"", ""parameters"": [[{""id"": ""61c04cc0-5512-4f26-af8d-38d249b6a9ec"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null], [{""id"": ""2eda4196-eb59-4ea9-b906-57216e1ccafd"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, null]], ""tags"": [], ""type"": ""process_template"", ""uids"": {""auto"": ""abc629d5-7453-4620-accd-db59f8586067""}}"
material_spec [0815978e-5d2e-4e06-945f-4fc33afd8a6b],process_spec [9aaf6bda-d400-45cf-b0e1-29aab11795b0],"{""conditions"": [], ""file_links"": [], ""name"": ""Choosing Flyer"", ""notes"": null, ""parameters"": [{""file_links"": [], ""name"": ""Flyer Row"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""61c04cc0-5512-4f26-af8d-38d249b6a9ec"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 3, ""type"": ""nominal_integer""}}, {""file_links"": [], ""name"": ""Flyer Column"", ""notes"": null, ""origin"": ""specified"", ""template"": {""id"": ""2eda4196-eb59-4ea9-b906-57216e1ccafd"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""parameter"", ""value"": {""nominal"": 6, ""type"": ""nominal_integer""}}], ""tags"": [], ""template"": {""id"": ""abc629d5-7453-4620-accd-db59f8586067"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""9aaf6bda-d400-45cf-b0e1-29aab11795b0""}}"
material_spec [0815978e-5d2e-4e06-945f-4fc33afd8a6b],material_template [2eb06493-a47a-4f22-a77f-b98d790d9d86],"{""description"": ""A specific flyer in a flyer stack, possibly with a spacer and/or impact sample attached"", ""name"": ""Launch Package"", ""properties"": [], ""tags"": [], ""type"": ""material_template"", ""uids"": {""auto"": ""2eb06493-a47a-4f22-a77f-b98d790d9d86""}}"
