,uid,name,value
0,014fa458-9fba-40d7-b602-5829cc6becdd,Weighed Mass,
1,014fa458-9fba-40d7-b602-5829cc6becdd,Mass Loss,
2,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Elastic Modulus, GPa",
3,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Yield Strength, MPa",
4,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"UTS, MPa",
5,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Elongation, %",
6,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Strain Hardening, MPa",
7,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,dUTS_dY,
8,06d0ca78-3cba-46cb-ae14-29ecf387a92c,"Elastic Modulus, GPa",
9,06d0ca78-3cba-46cb-ae14-29ecf387a92c,"Yield Strength, MPa",
10,06d0ca78-3cba-46cb-ae14-29ecf387a92c,"UTS, MPa",
11,06d0ca78-3cba-46cb-ae14-29ecf387a92c,"Elongation, %",
12,06d0ca78-3cba-46cb-ae14-29ecf387a92c,"Strain Hardening, MPa",
13,06d0ca78-3cba-46cb-ae14-29ecf387a92c,dUTS_dY,
14,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"Elastic Modulus, GPa",
15,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"Yield Strength, MPa",
16,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"UTS, MPa",
17,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"Elongation, %",
18,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"Strain Hardening, MPa",
19,07e13dc7-8f1a-44d7-bec8-5097f87d460a,dUTS_dY,
20,09d4568e-a3b2-4cd5-a048-942551673a05,Weighed Mass,
21,09d4568e-a3b2-4cd5-a048-942551673a05,Mass Loss,
22,0b39e64e-7735-4680-9f30-7e4520c3589f,Phase,
23,0b39e64e-7735-4680-9f30-7e4520c3589f,Lattice Parameter,
24,0b39e64e-7735-4680-9f30-7e4520c3589f,"Hardness, HV",
25,0b39e64e-7735-4680-9f30-7e4520c3589f,"SD, HV",
26,0e07b9dd-7d70-44d0-814b-9d1a83e49e39,Weighed Mass,
27,0e07b9dd-7d70-44d0-814b-9d1a83e49e39,Mass Loss,
28,0e240e33-3e67-4408-aa5d-b27d4dfb9894,Weighed Mass,
29,0e240e33-3e67-4408-aa5d-b27d4dfb9894,Mass Loss,
30,0f324e59-64e9-4d15-a3f2-16f5bae27aec,Weighed Mass,
31,0f324e59-64e9-4d15-a3f2-16f5bae27aec,Mass Loss,
32,10c0f657-6692-425f-b594-ebf360b70278,Weighed Mass,
33,10c0f657-6692-425f-b594-ebf360b70278,Mass Loss,
34,10df93f2-3785-49e6-a816-c8561ff6d636,Weighed Mass,
35,10df93f2-3785-49e6-a816-c8561ff6d636,Mass Loss,
36,123d8868-0ff4-4089-939f-775b8a24ea91,Weighed Mass,
37,123d8868-0ff4-4089-939f-775b8a24ea91,Mass Loss,
38,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,Phase,
39,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,Lattice Parameter,
40,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,"Hardness, HV",
41,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,"SD, HV",
42,139d52a9-d720-48bd-8759-1f01fbf2782a,Weighed Mass,
43,139d52a9-d720-48bd-8759-1f01fbf2782a,Mass Loss,
