,uid,name
0,d1356ec4-fc76-4ffc-b5a3-ce071b486460,Weighed Mass
1,d1356ec4-fc76-4ffc-b5a3-ce071b486460,Mass Loss
2,df5e1f3d-27de-4ca3-a365-52ab373a62bb,Phase
3,df5e1f3d-27de-4ca3-a365-52ab373a62bb,Lattice Parameter
4,df5e1f3d-27de-4ca3-a365-52ab373a62bb,"Hardness, HV"
5,df5e1f3d-27de-4ca3-a365-52ab373a62bb,"SD, HV"
6,09d4568e-a3b2-4cd5-a048-942551673a05,Weighed Mass
7,09d4568e-a3b2-4cd5-a048-942551673a05,Mass Loss
8,6c05bc90-6c2f-4313-8748-6698dfb05c2b,Phase
9,6c05bc90-6c2f-4313-8748-6698dfb05c2b,Lattice Parameter
10,6c05bc90-6c2f-4313-8748-6698dfb05c2b,"Hardness, HV"
11,6c05bc90-6c2f-4313-8748-6698dfb05c2b,"SD, HV"
12,d1abe872-736a-46bd-b21e-31ac5f432eca,Phase
13,d1abe872-736a-46bd-b21e-31ac5f432eca,Lattice Parameter
14,d1abe872-736a-46bd-b21e-31ac5f432eca,"Hardness, HV"
15,d1abe872-736a-46bd-b21e-31ac5f432eca,"SD, HV"
16,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Elastic Modulus, GPa"
17,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Yield Strength, MPa"
18,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"UTS, MPa"
19,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Elongation, %"
20,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Strain Hardening, MPa"
21,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,dUTS_dY
22,a9e1b94f-967e-4096-91e5-b6335df56736,"Elastic Modulus, GPa"
23,a9e1b94f-967e-4096-91e5-b6335df56736,"Yield Strength, MPa"
24,a9e1b94f-967e-4096-91e5-b6335df56736,"UTS, MPa"
25,a9e1b94f-967e-4096-91e5-b6335df56736,"Elongation, %"
26,a9e1b94f-967e-4096-91e5-b6335df56736,"Strain Hardening, MPa"
27,a9e1b94f-967e-4096-91e5-b6335df56736,dUTS_dY
28,014fa458-9fba-40d7-b602-5829cc6becdd,Weighed Mass
29,014fa458-9fba-40d7-b602-5829cc6becdd,Mass Loss
30,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"Elastic Modulus, GPa"
31,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"Yield Strength, MPa"
32,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"UTS, MPa"
33,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"Elongation, %"
34,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"Strain Hardening, MPa"
35,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,dUTS_dY
36,d82c1de9-6447-4be2-8110-9948dd67ed3f,Phase
37,d82c1de9-6447-4be2-8110-9948dd67ed3f,Lattice Parameter
38,d82c1de9-6447-4be2-8110-9948dd67ed3f,"Hardness, HV"
39,d82c1de9-6447-4be2-8110-9948dd67ed3f,"SD, HV"
40,faa181eb-2955-402f-b1df-70262fae9995,Weighed Mass
41,faa181eb-2955-402f-b1df-70262fae9995,Mass Loss
42,17e7abb9-9f40-4558-b750-608f4cf47447,Weighed Mass
43,17e7abb9-9f40-4558-b750-608f4cf47447,Mass Loss
44,3320a4e9-58a2-4edd-86ed-18a8efdfbaeb,Weighed Mass
45,3320a4e9-58a2-4edd-86ed-18a8efdfbaeb,Mass Loss
46,7a454cfa-2db6-4cd5-8759-40d12c6e5039,Weighed Mass
47,7a454cfa-2db6-4cd5-8759-40d12c6e5039,Mass Loss
48,cce4e35c-f38e-44d9-9049-7ce5b33e4d79,Weighed Mass
49,cce4e35c-f38e-44d9-9049-7ce5b33e4d79,Mass Loss
50,2f2de58f-6c4e-4706-9f7b-09ae6802249c,Weighed Mass
51,2f2de58f-6c4e-4706-9f7b-09ae6802249c,Mass Loss
52,7afb9f2e-a0b8-444f-b517-669ea3f369d3,Weighed Mass
53,7afb9f2e-a0b8-444f-b517-669ea3f369d3,Mass Loss
54,a4d1d231-fa5b-4979-a141-94e243edba8d,Weighed Mass
55,a4d1d231-fa5b-4979-a141-94e243edba8d,Mass Loss
56,eaed1955-65b2-4603-85ce-913ce57484fb,Phase
57,eaed1955-65b2-4603-85ce-913ce57484fb,Lattice Parameter
58,eaed1955-65b2-4603-85ce-913ce57484fb,"Hardness, HV"
59,eaed1955-65b2-4603-85ce-913ce57484fb,"SD, HV"
60,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Elastic Modulus, GPa"
61,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Yield Strength, MPa"
62,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"UTS, MPa"
63,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Elongation, %"
64,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,"Strain Hardening, MPa"
65,02bd2cc5-cd43-43cd-b9a1-d5d63863c6b9,dUTS_dY
66,29bc82cf-8d94-4339-bef8-b14fab2360d8,"Elastic Modulus, GPa"
67,29bc82cf-8d94-4339-bef8-b14fab2360d8,"Yield Strength, MPa"
68,29bc82cf-8d94-4339-bef8-b14fab2360d8,"UTS, MPa"
69,29bc82cf-8d94-4339-bef8-b14fab2360d8,"Elongation, %"
70,29bc82cf-8d94-4339-bef8-b14fab2360d8,"Strain Hardening, MPa"
71,29bc82cf-8d94-4339-bef8-b14fab2360d8,dUTS_dY
72,3d0a2832-7599-423d-82cd-77c266524ac4,"Elastic Modulus, GPa"
73,3d0a2832-7599-423d-82cd-77c266524ac4,"Yield Strength, MPa"
74,3d0a2832-7599-423d-82cd-77c266524ac4,"UTS, MPa"
75,3d0a2832-7599-423d-82cd-77c266524ac4,"Elongation, %"
76,3d0a2832-7599-423d-82cd-77c266524ac4,"Strain Hardening, MPa"
77,3d0a2832-7599-423d-82cd-77c266524ac4,dUTS_dY
78,d0a30b8d-e28f-4ed3-a06f-7e6a90356513,Weighed Mass
79,d0a30b8d-e28f-4ed3-a06f-7e6a90356513,Mass Loss
80,f54b0437-c167-4cd2-b800-4162d53764bc,Weighed Mass
