,uid,name,type
0,548a52db-ed9b-448a-b667-db5c6e0c7465,"Elastic Modulus, GPa",nominal_real
1,548a52db-ed9b-448a-b667-db5c6e0c7465,"Yield Strength, MPa",nominal_real
2,548a52db-ed9b-448a-b667-db5c6e0c7465,"UTS, MPa",nominal_real
3,548a52db-ed9b-448a-b667-db5c6e0c7465,"Elongation, %",nominal_real
4,548a52db-ed9b-448a-b667-db5c6e0c7465,"Strain Hardening, MPa",nominal_real
5,548a52db-ed9b-448a-b667-db5c6e0c7465,dUTS_dY,nominal_real
6,8d7d5af2-6b04-463a-ac4e-56e1beb17d3f,Weighed Mass,nominal_real
7,8d7d5af2-6b04-463a-ac4e-56e1beb17d3f,Mass Loss,nominal_real
8,d1356ec4-fc76-4ffc-b5a3-ce071b486460,Weighed Mass,nominal_real
9,d1356ec4-fc76-4ffc-b5a3-ce071b486460,Mass Loss,nominal_real
10,fc8ba492-f5b8-4eac-b0a0-3073ff8d1c56,Weighed Mass,nominal_real
11,fc8ba492-f5b8-4eac-b0a0-3073ff8d1c56,Mass Loss,nominal_real
12,123d8868-0ff4-4089-939f-775b8a24ea91,Weighed Mass,nominal_real
13,123d8868-0ff4-4089-939f-775b8a24ea91,Mass Loss,nominal_real
14,7d5e44af-f266-419c-89aa-df4882a07a3e,Weighed Mass,nominal_real
15,7d5e44af-f266-419c-89aa-df4882a07a3e,Mass Loss,nominal_real
16,98f66b85-e270-42ec-bece-9865783ce0e7,Weighed Mass,nominal_real
17,98f66b85-e270-42ec-bece-9865783ce0e7,Mass Loss,nominal_real
18,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,Phase,nominal_categorical
19,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,Lattice Parameter,nominal_real
20,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,"Hardness, HV",nominal_real
21,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,"SD, HV",nominal_real
22,4d1a75c2-b700-4dd5-8ce9-88e57a6f457a,Weighed Mass,nominal_real
23,4d1a75c2-b700-4dd5-8ce9-88e57a6f457a,Mass Loss,nominal_real
24,7e22f80e-8b52-48de-a36e-7f680119cdab,Weighed Mass,nominal_real
25,7e22f80e-8b52-48de-a36e-7f680119cdab,Mass Loss,nominal_real
26,f3dbddf5-856b-4591-b90e-b272aca58a4a,"Elastic Modulus, GPa",nominal_real
27,f3dbddf5-856b-4591-b90e-b272aca58a4a,"Yield Strength, MPa",nominal_real
28,f3dbddf5-856b-4591-b90e-b272aca58a4a,"UTS, MPa",nominal_real
29,f3dbddf5-856b-4591-b90e-b272aca58a4a,"Elongation, %",nominal_real
30,f3dbddf5-856b-4591-b90e-b272aca58a4a,"Strain Hardening, MPa",nominal_real
31,f3dbddf5-856b-4591-b90e-b272aca58a4a,dUTS_dY,nominal_real
32,139d52a9-d720-48bd-8759-1f01fbf2782a,Weighed Mass,nominal_real
33,139d52a9-d720-48bd-8759-1f01fbf2782a,Mass Loss,nominal_real
34,dca8fab4-4fea-4a62-9f48-8d8ec0c9bee7,Phase,nominal_categorical
35,dca8fab4-4fea-4a62-9f48-8d8ec0c9bee7,Lattice Parameter,nominal_real
36,dca8fab4-4fea-4a62-9f48-8d8ec0c9bee7,"Hardness, HV",nominal_real
37,dca8fab4-4fea-4a62-9f48-8d8ec0c9bee7,"SD, HV",nominal_real
38,f54b0437-c167-4cd2-b800-4162d53764bc,Weighed Mass,nominal_real
39,f54b0437-c167-4cd2-b800-4162d53764bc,Mass Loss,nominal_real
40,2924dafc-d7e2-44ef-ad06-8ef6a116335e,Weighed Mass,nominal_real
41,2924dafc-d7e2-44ef-ad06-8ef6a116335e,Mass Loss,nominal_real
42,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Elastic Modulus, GPa",nominal_real
43,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Yield Strength, MPa",nominal_real
44,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"UTS, MPa",nominal_real
45,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Elongation, %",nominal_real
46,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Strain Hardening, MPa",nominal_real
47,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,dUTS_dY,nominal_real
48,a8e9b606-abed-4d64-bf45-70a50263be35,Weighed Mass,nominal_real
49,a8e9b606-abed-4d64-bf45-70a50263be35,Mass Loss,nominal_real
50,c6708c15-7d43-4cb2-848c-0e329ea341fa,Weighed Mass,nominal_real
51,c6708c15-7d43-4cb2-848c-0e329ea341fa,Mass Loss,nominal_real
52,29bc82cf-8d94-4339-bef8-b14fab2360d8,"Elastic Modulus, GPa",nominal_real
53,29bc82cf-8d94-4339-bef8-b14fab2360d8,"Yield Strength, MPa",nominal_real
54,29bc82cf-8d94-4339-bef8-b14fab2360d8,"UTS, MPa",nominal_real
55,29bc82cf-8d94-4339-bef8-b14fab2360d8,"Elongation, %",nominal_real
56,29bc82cf-8d94-4339-bef8-b14fab2360d8,"Strain Hardening, MPa",nominal_real
57,29bc82cf-8d94-4339-bef8-b14fab2360d8,dUTS_dY,nominal_real
58,474cb3db-c4bc-449a-961e-cf837f1ea136,Weighed Mass,nominal_real
59,474cb3db-c4bc-449a-961e-cf837f1ea136,Mass Loss,nominal_real
60,772cae9f-821a-48c8-92e5-c418163ea22a,"Elastic Modulus, GPa",nominal_real
61,772cae9f-821a-48c8-92e5-c418163ea22a,"Yield Strength, MPa",nominal_real
62,772cae9f-821a-48c8-92e5-c418163ea22a,"UTS, MPa",nominal_real
63,772cae9f-821a-48c8-92e5-c418163ea22a,"Elongation, %",nominal_real
64,772cae9f-821a-48c8-92e5-c418163ea22a,"Strain Hardening, MPa",nominal_real
