,uid,model_id,gemd_type,context
0,00310238-22fc-4c24-8d46-ca1e11dc7df9,4,material_run,"{""file_links"": [], ""name"": ""Alloy (composition AAB12 with VAM in batch A): Traveler Sample (Tensile, T08)"", ""notes"": null, ""process"": {""id"": ""49fd9495-1d29-4b32-8c09-df6244db40ba"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""sample_type"": null, ""spec"": {""id"": ""56d8b7af-48f4-4dd6-a51e-5ac3b34b7168"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""material_run"", ""uids"": {""auto"": ""00310238-22fc-4c24-8d46-ca1e11dc7df9""}}"
1,005970ca-b0dc-4c99-96f6-39fe7793b801,4,material_spec,"{""file_links"": [], ""name"": ""V in composition AAB13 with VAM in batch A"", ""notes"": null, ""process"": {""id"": ""ae2cc2de-9ab9-4c3c-9416-6b8f93e07261"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""properties"": [{""conditions"": [], ""property"": {""file_links"": [], ""name"": ""Composition Percentage"", ""notes"": """", ""origin"": ""predicted"", ""template"": {""id"": ""acb9c881-ac63-49b6-97d0-2b9c7bf5d773"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""property"", ""value"": {""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""dimensionless""}}, ""type"": ""property_and_conditions""}, {""conditions"": [], ""property"": {""file_links"": [], ""name"": ""Target Mass"", ""notes"": """", ""origin"": ""computed"", ""template"": {""id"": ""f68e3048-48c1-423c-a21d-075e0e428181"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""property"", ""value"": {""nominal"": 0.0, ""type"": ""nominal_real"", ""units"": ""gram""}}, ""type"": ""property_and_conditions""}], ""tags"": [], ""template"": {""id"": ""862b710d-f134-442f-8515-da62e296c004"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""material_spec"", ""uids"": {""auto"": ""005970ca-b0dc-4c99-96f6-39fe7793b801""}}"
2,00753a75-31cd-4463-9fdb-66bbc2ce91d4,4,ingredient_run,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""ee729db5-9d44-487d-b218-0dc08f5711d3"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Arc Melted Alloy (composition AAB16 with VAM in batch A) Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""e69ba24b-34cd-45da-ba8c-ea58de20408c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""spec"": {""id"": ""bf9b1286-958f-471d-a866-52be9ff4c54a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_run"", ""uids"": {""auto"": ""00753a75-31cd-4463-9fdb-66bbc2ce91d4""}, ""volume_fraction"": null}"
3,008fc58a-d87b-488e-bbf2-706b679886d0,4,process_spec,"{""conditions"": [], ""file_links"": [], ""name"": ""Aggregating composition AAB10 with VAM in batch A"", ""notes"": null, ""parameters"": [], ""tags"": [], ""template"": {""id"": ""c668bdba-ce09-4fc8-b89d-532d9db65ccf"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""008fc58a-d87b-488e-bbf2-706b679886d0""}}"
4,0094f2f4-f6ea-496c-b0d1-c9a913fbb8f9,4,process_spec,"{""conditions"": [], ""file_links"": [], ""name"": ""Extract sample from Alloy (composition AAB15 with VAM in batch A): Traveler"", ""notes"": null, ""parameters"": [], ""tags"": [], ""template"": {""id"": ""af2df7e8-e0db-457c-bd8b-f9f4f22903fa"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""0094f2f4-f6ea-496c-b0d1-c9a913fbb8f9""}}"
5,00c5566f-13a4-4fae-9a2a-3d283f8f8839,4,measurement_spec,"{""conditions"": [], ""file_links"": [], ""name"": ""Weighting Fe for composition AAB13 with VAM in batch A"", ""notes"": null, ""parameters"": [], ""tags"": [], ""template"": {""id"": ""2216edbe-1016-4f54-9ae4-57d7326883b4"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""measurement_spec"", ""uids"": {""auto"": ""00c5566f-13a4-4fae-9a2a-3d283f8f8839""}}"
6,00f7fc0c-697b-4bba-9c09-7b3f14060ba1,4,material_run,"{""file_links"": [], ""name"": ""Alloy (composition AAB06 with VAM in batch A): Traveler Sample (NI, T04)"", ""notes"": null, ""process"": {""id"": ""934fd852-a35c-4052-84df-5633bb9eb35a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""sample_type"": null, ""spec"": {""id"": ""653b3a16-2cbb-49a7-991c-9d3bffca9e58"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""material_run"", ""uids"": {""auto"": ""00f7fc0c-697b-4bba-9c09-7b3f14060ba1""}}"
7,0119b37f-80c6-4faa-9887-295ce79c44e6,4,ingredient_spec,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""e4b8ce2c-f61f-460f-aa83-2048e322256d"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Alloy (composition AAB01 with VAM in batch A): Traveler Sample (Tensile, T09) Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""51478d48-d60c-4e84-8396-f9a33a2f086e"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_spec"", ""uids"": {""auto"": ""0119b37f-80c6-4faa-9887-295ce79c44e6""}, ""volume_fraction"": null}"
8,012395f9-0e4a-4a7f-9835-4f61036a3834,4,parameter_template,"{""bounds"": {""categories"": [""850-900"", ""900-950""], ""type"": ""categorical_bounds""}, ""description"": null, ""name"": ""Argon Pressure"", ""tags"": [], ""type"": ""parameter_template"", ""uids"": {""auto"": ""012395f9-0e4a-4a7f-9835-4f61036a3834""}}"
9,0151c24a-9e0a-43bd-a744-2c7148506d32,4,ingredient_run,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""41f420eb-a9a7-434a-ba6c-1a790ac40612"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Fe in composition AAB11 with VAM in batch A Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""3513703c-0076-4485-9bb2-7affa0258aa2"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""spec"": {""id"": ""3ad0a4ef-876e-4255-92fa-55048e04c18d"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_run"", ""uids"": {""auto"": ""0151c24a-9e0a-43bd-a744-2c7148506d32""}, ""volume_fraction"": null}"
